"Dataset","superkingdom","kingdom","phylum","class","count"
"cTP","Eukaryota","Viridiplantae","Chlorophyta","Chlorophyceae",2
"cTP","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida",27
"cTP","Eukaryota",NA,"Euglenozoa","Euglenida",1
"cTP","Eukaryota",NA,"Rhodophyta","Bangiophyceae",1
"cTP","Eukaryota",NA,"Rhodophyta","Florideophyceae",1
"cTP","Eukaryota",NA,NA,"Cryptophyceae",1
"cTP","Eukaryota",NA,NA,"Dinophyceae",1
"mTP","Eukaryota","Fungi","Ascomycota","Eurotiomycetes",2
"mTP","Eukaryota","Fungi","Ascomycota","Saccharomycetes",5
"mTP","Eukaryota","Fungi","Ascomycota","Schizosaccharomycetes",1
"mTP","Eukaryota","Fungi","Ascomycota","Sordariomycetes",1
"mTP","Eukaryota","Fungi","Basidiomycota","Tremellomycetes",1
"mTP","Eukaryota","Metazoa","Arthropoda","Insecta",2
"mTP","Eukaryota","Metazoa","Chordata","Actinopteri",2
"mTP","Eukaryota","Metazoa","Chordata","Amphibia",1
"mTP","Eukaryota","Metazoa","Chordata","Aves",2
"mTP","Eukaryota","Metazoa","Chordata","Mammalia",9
"mTP","Eukaryota","Metazoa","Nematoda","Chromadorea",2
"mTP","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida",11
"mTP","Eukaryota",NA,"Ciliophora","Oligohymenophorea",1
"mTP","Eukaryota",NA,"Euglenozoa","Euglenida",1
"mTP","Eukaryota",NA,"Euglenozoa","Kinetoplastea",2
"mTP","Eukaryota",NA,"Evosea","Eumycetozoa",1
"SP","Archaea",NA,"Crenarchaeota","Thermoprotei",3
"SP","Archaea",NA,"Euryarchaeota","Archaeoglobi",1
"SP","Archaea",NA,"Euryarchaeota","Halobacteria",4
"SP","Archaea",NA,"Euryarchaeota","Methanobacteria",1
"SP","Archaea",NA,"Euryarchaeota","Methanococci",3
"SP","Archaea",NA,"Euryarchaeota","Methanomicrobia",4
"SP","Archaea",NA,"Euryarchaeota","Thermococci",1
"SP","Bacteria",NA,"Actinobacteria","Actinomycetia",41
"SP","Bacteria",NA,"Aquificae","Aquificae",2
"SP","Bacteria",NA,"Bacteroidetes","Bacteroidia",3
"SP","Bacteria",NA,"Bacteroidetes","Flavobacteriia",4
"SP","Bacteria",NA,"Bacteroidetes","Sphingobacteriia",3
"SP","Bacteria",NA,"Chlamydiae","Chlamydiia",3
"SP","Bacteria",NA,"Chlorobi","Chlorobia",2
"SP","Bacteria",NA,"Chloroflexi","Chloroflexia",1
"SP","Bacteria",NA,"Cyanobacteria",NA,10
"SP","Bacteria",NA,"Deinococcus-Thermus","Deinococci",3
