"Dataset","superkingdom","kingdom","phylum","class","count"
"cTP","Eukaryota","Viridiplantae","Chlorophyta","Chlorophyceae",16
"cTP","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida",219
"cTP","Eukaryota",NA,"Euglenozoa","Euglenida",3
"cTP","Eukaryota",NA,"Rhodophyta","Bangiophyceae",1
"cTP","Eukaryota",NA,"Rhodophyta","Florideophyceae",1
"cTP","Eukaryota",NA,NA,"Cryptophyceae",1
"cTP","Eukaryota",NA,NA,"Dinophyceae",1
"mTP","Eukaryota","Fungi","Ascomycota","Eurotiomycetes",3
"mTP","Eukaryota","Fungi","Ascomycota","Saccharomycetes",93
"mTP","Eukaryota","Fungi","Ascomycota","Schizosaccharomycetes",2
"mTP","Eukaryota","Fungi","Ascomycota","Sordariomycetes",15
"mTP","Eukaryota","Fungi","Basidiomycota","Tremellomycetes",1
"mTP","Eukaryota","Metazoa","Arthropoda","Insecta",5
"mTP","Eukaryota","Metazoa","Chordata","Actinopteri",2
"mTP","Eukaryota","Metazoa","Chordata","Amphibia",2
"mTP","Eukaryota","Metazoa","Chordata","Aves",7
"mTP","Eukaryota","Metazoa","Chordata","Mammalia",253
"mTP","Eukaryota","Metazoa","Nematoda","Chromadorea",4
"mTP","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida",120
"mTP","Eukaryota",NA,"Ciliophora","Oligohymenophorea",1
"mTP","Eukaryota",NA,"Euglenozoa","Euglenida",3
"mTP","Eukaryota",NA,"Euglenozoa","Kinetoplastea",7
"mTP","Eukaryota",NA,"Evosea","Eumycetozoa",3
"SP","Archaea",NA,"Crenarchaeota","Thermoprotei",5
"SP","Archaea",NA,"Euryarchaeota","Archaeoglobi",1
"SP","Archaea",NA,"Euryarchaeota","Halobacteria",5
"SP","Archaea",NA,"Euryarchaeota","Methanobacteria",1
"SP","Archaea",NA,"Euryarchaeota","Methanococci",3
"SP","Archaea",NA,"Euryarchaeota","Methanomicrobia",4
"SP","Archaea",NA,"Euryarchaeota","Thermococci",1
"SP","Bacteria",NA,"Actinobacteria","Actinomycetia",68
"SP","Bacteria",NA,"Aquificae","Aquificae",2
"SP","Bacteria",NA,"Bacteroidetes","Bacteroidia",5
"SP","Bacteria",NA,"Bacteroidetes","Flavobacteriia",6
"SP","Bacteria",NA,"Bacteroidetes","Sphingobacteriia",4
"SP","Bacteria",NA,"Chlamydiae","Chlamydiia",4
"SP","Bacteria",NA,"Chlorobi","Chlorobia",2
"SP","Bacteria",NA,"Chloroflexi","Chloroflexia",1
"SP","Bacteria",NA,"Cyanobacteria",NA,20
"SP","Bacteria",NA,"Deinococcus-Thermus","Deinococci",5
"SP","Bacteria",NA,"Fibrobacteres","Fibrobacteria",2
"SP","Bacteria",NA,"Firmicutes","Bacilli",130
"SP","Bacteria",NA,"Firmicutes","Clostridia",23
"SP","Bacteria",NA,"Proteobacteria","Acidithiobacillia",4
"SP","Bacteria",NA,"Proteobacteria","Alphaproteobacteria",57
"SP","Bacteria",NA,"Proteobacteria","Betaproteobacteria",36
"SP","Bacteria",NA,"Proteobacteria","Deltaproteobacteria",16
"SP","Bacteria",NA,"Proteobacteria","Epsilonproteobacteria",7
"SP","Bacteria",NA,"Proteobacteria","Gammaproteobacteria",361
"SP","Bacteria",NA,"Proteobacteria","Hydrogenophilalia",1
"SP","Bacteria",NA,"Spirochaetes","Spirochaetia",3
"SP","Bacteria",NA,"Tenericutes","Mollicutes",2
"SP","Eukaryota","Fungi","Ascomycota","Dothideomycetes",2
"SP","Eukaryota","Fungi","Ascomycota","Eurotiomycetes",51
"SP","Eukaryota","Fungi","Ascomycota","Pezizomycotina",3
"SP","Eukaryota","Fungi","Ascomycota","Saccharomycetes",39
"SP","Eukaryota","Fungi","Ascomycota","Schizosaccharomycetes",3
"SP","Eukaryota","Fungi","Ascomycota","Sordariomycetes",19
"SP","Eukaryota","Fungi","Basidiomycota","Agaricomycetes",14
"SP","Eukaryota","Fungi","Basidiomycota","Microbotryomycetes",1
"SP","Eukaryota","Fungi","Basidiomycota","Tremellomycetes",3
"SP","Eukaryota","Fungi","Basidiomycota","Ustilaginomycetes",2
"SP","Eukaryota","Fungi","Chytridiomycota","Neocallimastigomycetes",2
"SP","Eukaryota","Fungi","Microsporidia",NA,3
"SP","Eukaryota","Fungi","Mucoromycota","Mucoromycetes",4
"SP","Eukaryota","Metazoa","Annelida","Clitellata",9
"SP","Eukaryota","Metazoa","Annelida","Polychaeta",4
"SP","Eukaryota","Metazoa","Arthropoda","Arachnida",139
"SP","Eukaryota","Metazoa","Arthropoda","Chilopoda",26
"SP","Eukaryota","Metazoa","Arthropoda","Collembola",1
"SP","Eukaryota","Metazoa","Arthropoda","Insecta",206
"SP","Eukaryota","Metazoa","Arthropoda","Malacostraca",21
"SP","Eukaryota","Metazoa","Arthropoda","Merostomata",15
"SP","Eukaryota","Metazoa","Arthropoda","Thecostraca",1
"SP","Eukaryota","Metazoa","Chordata","Actinopteri",52
"SP","Eukaryota","Metazoa","Chordata","Amphibia",26
"SP","Eukaryota","Metazoa","Chordata","Ascidiacea",1
"SP","Eukaryota","Metazoa","Chordata","Aves",51
"SP","Eukaryota","Metazoa","Chordata","Chondrichthyes",4
"SP","Eukaryota","Metazoa","Chordata","Hyperoartia",2
"SP","Eukaryota","Metazoa","Chordata","Lepidosauria",143
"SP","Eukaryota","Metazoa","Chordata","Mammalia",1378
"SP","Eukaryota","Metazoa","Chordata","Myxini",1
"SP","Eukaryota","Metazoa","Chordata",NA,1
"SP","Eukaryota","Metazoa","Cnidaria","Anthozoa",4
"SP","Eukaryota","Metazoa","Cnidaria","Cubozoa",2
"SP","Eukaryota","Metazoa","Echinodermata","Asteroidea",3
"SP","Eukaryota","Metazoa","Mollusca","Bivalvia",17
"SP","Eukaryota","Metazoa","Mollusca","Gastropoda",32
"SP","Eukaryota","Metazoa","Nematoda","Chromadorea",14
"SP","Eukaryota","Viridiplantae","Chlorophyta","Chlorophyceae",4
"SP","Eukaryota","Viridiplantae","Streptophyta","Magnoliopsida",291
"SP","Eukaryota","Viridiplantae","Streptophyta","Pinopsida",7
"SP","Eukaryota",NA,"Apicomplexa","Aconoidasida",1
"SP","Eukaryota",NA,"Euglenozoa","Kinetoplastea",3
"SP","Eukaryota",NA,"Evosea","Eumycetozoa",19
"SP","Eukaryota",NA,"Evosea",NA,6
"SP","Eukaryota",NA,"Haptophyta",NA,1
"SP","Eukaryota",NA,"Oomycota",NA,3
"SP","Eukaryota",NA,"Rhodophyta","Bangiophyceae",1
"SP","Eukaryota",NA,"Rhodophyta","Florideophyceae",1
"SP","Viruses","Bamfordvirae","Nucleocytoviricota","Pokkesviricetes",1
"SP","Viruses","Bamfordvirae","Preplasmiviricota","Tectiliviricetes",3
"SP","Viruses","Heunggongvirae","Peploviricota","Herviviricetes",3
"SP","Viruses","Heunggongvirae","Uroviricota","Caudoviricetes",4
"SP","Viruses","Loebvirae","Hofneiviricota","Faserviricetes",4
"SP","Viruses","Orthornavirae","Duplornaviricota","Chrymotiviricetes",1
"SP","Viruses","Orthornavirae","Duplornaviricota","Resentoviricetes",1
"SP","Viruses","Orthornavirae","Negarnaviricota","Ellioviricetes",2
"SP","Viruses","Orthornavirae","Negarnaviricota","Monjiviricetes",1
"SP","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes",1
"SP","Viruses","Pararnavirae","Artverviricota","Revtraviricetes",3
